UTM10,ACCI GENT,ACCI NISU,Aecau,AEGO FUNE,AGAP FISH,AIX SPON,Alarv,Alruf,AMAN AMAN,Ancam,ANTH SPIN,Antri,APUS APUS,APUS PALL,AQUI CHRY,ARAT ACUT,ARAT ERYT,ARAT MITR,ASIO OTUS,ATHE NOCT,BUBO BUBO,BUBU IBIS,BURH OEDI,BUTE BUTE,CALA BRAC,CALA RUFE,CAPR EURO,CAPR RUFI,Caina,Cacar,Cachl,CARD SPIN,CERC GALA,Cebra,CERT FAMI,CETT CETT,CHER DUPO,CICO CICO,CIRC AERU,CIRC CYAN,CIRC GALL,CIRC PYGA,Cijun,CLAM GLAN,COCC COCC,COLU LIVI,COLU OENA,Colpa,CORA GARR,CORV CORA,CORV CORO,CORV MONE,Cocot,CREX CREX,Cucan,CYAN PATA,Demaj,DEND MEDI,DEND MINO,DRYO MART,ELAN CAER,Emcia,Emcir,Emcit,Emhor,Errub,ESTR ASTR,ESTR TROG,EUPL AFER,FALC NAUM,FALC PERE,FALC SUBB,FALC TINN,FICE HYPO,Frcoe,Gacri,Gathe,Gagla,GYPA BARB,GYPS FULV,HIER FASC,HIER PENN,Hipol,HIRU DAUR,HIRU RUST,JYNX TORQ,Lacol,Lamer,LANI MINO,Lasen,LEIO LUTE,LONC MALA,Locur,Luarb,Lumeg,Mecal,MERO APIA,Mical,MILV MIGR,MILV MILV,MONT NIVA,MONT SAXA,MONT SOLI,MOTA ALBA,MOTA FLAV,MUSC STRI,MYIO MONA,NEOP PERC,Oehis,OENA LEUC,Oeoen,ORIO ORIO,OTUS SCOP,PANU BIHA,Paate,Pacae,Pacri,Pamaj,PARU PALU,Padom,PASS HISP,Pamon,PERD PERD,PERN APIV,PETR PETR,PHAS COLC,Phoch,PHOE PHOE,Phbon,Phita,Pipic,Pivir,POIC SENE,PRUN COLL,Prmod,PSIT KRAM,PTER ALCH,PTER ORIE,PTYO RUPE,PYRR GRAC,PYRR PYRO,Pyula,QUEL QUEL,Reign,Rereg,REMI PEND,RIPA RIPA,SAXI RUBE,SCOL RUST,Secit,Seser,Sieur,Stdec,STRE ROSE,STRE TURT,STRI ALUC,STUR SP,STUR UNIC,Stvul,Syatr,SYLV BORI,Sycan,SYLV COMM,SYLV CONS,Syhor,Symel,Syund,TETR TETA,TETR UROG,THRE AETH,TICH MURA,Trtro,Tumer,TURD PHIL,Tutor,Tuvis,TYTO ALBA,Upepo
DG73,0,20,2329.14,0,0,0,0.00,107.59,0,6.14,0,0.00,316.0696126,0,0,0,0,0,5.449031295,6.32455532,1,0,0,2,0,0,20,0,146.76,4082.81,1777.56,0,0,441.11,0,6.32455532,0,0,0,0,2,0,322.82,0,0,316.2119542,0,1438.90,0,6.184859059,14.14468365,0,5.25,0,108.83,0,6.45,0,1.414213562,0,0,7.63,1140.49,0.00,1.44,4670.35,0,0,0,0,0,2.878732364,10.12173988,0,540.51,337.59,0.00,1471.30,0,0,0,0,798.75,0,999.9499987,20,0.38,2.05,0,18.47,0,0,0.00,96.58,4736.26,0.00,6.32455532,360.71,0,0,0,0,1,99.94998749,0,20,0,0,0.00,0,0.00,99.94998749,6.32455532,0,0.00,3704.46,73.14,4285.92,0,27072.73,0,6718.94,0,1,0,12.281368,3.63,0,344.01,0.00,1767.93,407.79,0,0,0.00,0,0,0,65.4927168,0,0,0.00,0,1940.29,0.00,0,0,0,0,0.00,4323.96,141.12,623.97,0,99.94998749,6.32455532,0,3,9280.59,3134.39,0,438.57,25.87805688,0,0.00,1597.35,0.00,0,0,0,0,988.56,4042.17,20,0.00,43.26,2,326.45
DG74,3,3,3300.68,0,0,0,0.00,21.13,0,0.00,0,0.00,316.2119542,0,0,0,0,0,5.449031295,31.60696126,0,0,0,6.32455532,0,0,6.32455532,0,135.74,3440.58,1361.70,0,0,1035.97,0,20,0,0,0,0,3,0,201.31,0,0,20,20,1460.63,0,6.184859059,3,3,1.66,0,110.35,0,76.09,0,3,0,0,0.00,1019.82,0.00,0.00,5340.09,0,0,0,0,0,3,3,0,583.49,157.02,0.00,1742.59,0,0,0,2.257319217,895.57,0,316.2119542,3,1.39,0.00,0,4.31,0,0,0.00,72.76,4111.25,0.00,20,285.05,3.718489007,0,0,0,0,316.2119542,0,0,0,0,0.00,0,0.00,99.94998749,3,0,12.76,3758.76,160.65,4350.31,0,25340.17,0,3990.69,0,0,0,3,0.00,0,506.86,105.70,1745.19,413.22,0,0,0.00,0,0,0,0,0,0,8.61,0,2417.72,0.00,3,0,0,0,0.00,3484.08,38.27,154.28,0,6.32455532,20,0,0,6907.73,3471.22,3,650.47,0,0,0.00,1805.77,0.00,0,0,0,0,1644.35,4061.55,20,0.00,31.74,3,272.38
DG75,0,1,3623.92,0,0,0,0.00,24.13,0,3.11,0,0.00,316.0696126,0,0,0,0,0,2,3,1,0,0,2,0,0,20,0,146.37,1512.98,946.99,0,0,1127.52,0,20,0,0,0,0,1,0,206.92,0,0,20,0,1458.14,0,3,2,0,3.11,0,76.84,0,63.00,0,0,0,0,77.44,1381.75,0.00,0.00,5622.24,0,0,0,0,1,1.414213562,0,0,1770.81,174.80,0.00,1683.50,0,0,0,1,473.71,0,316.0696126,0,2.85,0.00,0,0.00,0,0,0.00,124.52,2869.02,0.00,3,147.60,0,0,0,0,0,20,0,3,0,2.198329607,0.08,0,0.00,20,20,0,13.22,3072.89,272.62,4280.04,0,13239.90,0,688.43,0,2.926150761,0,3,40.52,0,830.50,408.30,345.63,348.62,0,0,0.00,0,0,0,3,0,0,76.48,0,3557.45,0.00,0,0,0,0,0.00,3734.37,0.00,24.91,0,20,3,0,0,2491.30,3713.69,56.73598759,2277.19,0,0,2.91,2765.19,0.00,0,0,0,0,2138.77,4118.58,20,0.00,40.50,3,62.51
DG76,3,3,3434.31,0,0,0,0.00,6.05,0,0.33,0,0.00,316.0696126,0,0,0,0,0,1,3,0,0,1,2.449489743,0,0,3,48.28047247,145.62,2097.27,1196.23,0,0,931.60,0,20,0,0,0,0,1,0,363.58,0,0,20,0,1451.23,0,2,2,20.4362039,4.60,0,47.13,0,52.35,0,1,0,0,57.71,1546.40,12.57,0.00,5462.88,0,0,0,0,2.635025498,1,1,0,1442.11,207.35,0.00,1593.75,0,0,0,2.257319217,385.74,0,99.94998749,3,1.21,0.00,0,0.49,0,0,0.00,119.21,4113.50,0.00,6.32455532,306.22,0,0,0,0,0,99.94998749,0,20,0,0,0.00,0,0.00,20,6.32455532,0,28.26,1890.77,959.04,4232.93,0,22706.67,0,1296.41,0,0,0,3,0.00,0,636.43,711.97,652.30,337.54,0,0,0.00,0,0,0,0,0,0,35.79,0,2490.74,0.00,0,68.05562138,0,0,0.00,4752.31,0.00,133.89,0,20,20,0,0,4905.65,3728.79,3,918.71,0,0,0.00,2170.70,0.00,0,0,0,0,2073.36,4088.72,20,0.00,26.87,8.144301976,122.69
DG77,2.828427125,0,3197.55,0,0,0,1.23,6.56,0,0.32,0,0.00,316.0696126,0,3,0,0,0,0,32.35282205,3.180086824,0,0,3,0,0,73.39730808,0,137.65,2229.68,1154.34,0,0,840.53,0,20,0,0,0,0,1.732050808,0,205.36,0,0,20,0,1430.27,0,2.828427125,20,20.4362039,6.94,0,76.18,0,49.18,0,3,0,0,152.94,1369.03,0.00,0.00,5180.33,0,0,0,0,1.414213562,2.828427125,2.828427125,0,1549.54,274.38,0.00,1575.95,0,0,0,0,612.13,0,20,20,3.74,0.00,0,5.40,0,0,0.00,174.75,3946.94,0.00,20,413.41,3.741657387,0,0,0,0,20,0,32.12401964,0,0,0.00,0,0.00,20,0,0,292.62,3354.90,1172.17,4167.77,0,16342.95,0,1079.07,0,0,20,12.281368,78.68,0,1019.17,1059.39,667.11,221.67,0,0,0.00,0,0,0,20,0,0,35.84,0,3279.25,0.00,30.85755111,0,0,0,0.00,4388.52,0.00,146.53,0,20,20,0,0,3585.10,3757.84,20,1510.10,0,0,1.32,3601.98,0.00,0,0,0,0,2271.08,4077.92,20,0.00,54.54,8.144301976,34.99
DG78,4.705080365,2.449489743,1883.42,0,0,0,5.41,0.00,0,8.65,0,0.00,20,0,1,0,0,0,0,0,0,0,0,4.981287692,0,0,73.39730808,0,142.06,73.84,0.00,0,0,825.28,0,0,0,0,0,0,0,0,5.99,0,0,0,0,1245.04,0,20,20,0,0.00,0,13.38,0,19.74,0,0,0,0,432.02,509.66,11.41,0.00,5596.97,0,0,0,0,3,0,3,0,1902.20,0.00,0.00,1357.06,0,0,0,0,187.31,0,3,0,21.23,0.00,0,0.00,0,0,0.00,84.08,1253.89,0.00,0,48.32,0,0,0,0,18.42932446,3,0,32.12401964,0,0,0.01,0,0.00,0,0,0,1118.64,2894.18,523.75,3863.60,0,1260.83,0,4.15,0,0,0,0,95.71,0,1097.46,1289.80,0.00,67.96,0,0,0.00,0,0,0,20,0,0,59.59,0,3691.39,0.00,0,0,0,0,0.00,1566.65,0.00,0.00,0,3,20,0,0,22.02,3540.92,20,1663.78,0,0,0.71,2987.22,0.00,0,0,0,0,2518.84,3906.62,163.8555342,0.00,34.97,0,0.00
DG79,4.705080365,5.840580155,880.87,0,0,0,0.00,0.00,0,0.74,0,0.00,20,0,1,0,0,0,0,0,3.180086824,0,0,4.981287692,0,0,0,0,77.56,370.51,107.44,0,0,472.44,0,0,0,0,0,0,0,0,3.48,0,0,0,0,515.36,0,2.449489743,20,0,0.00,0,13.15,0,98.13,0,0,0,0,164.37,482.21,0.00,0.00,2622.25,0,0,0,0,2.635025498,0,3.464101615,0,914.46,4.36,0.00,593.94,0,0,0,0,188.95,0,20,0,138.74,0.00,0,0.48,0,0,0.00,113.91,718.66,0.00,0,78.50,0,0,0,0,0,20,0,20,0,0,0.00,0,0.00,316.0696126,0,0,251.72,1746.78,0.00,1878.70,77.80607124,1831.26,0,14.20,0,0,20,0,29.03,0,526.85,605.38,9.79,17.66,0,0,0.00,0,0,0,0,0,0,19.16,0,1861.00,0.00,0,0,0,0,0.00,943.59,0.00,7.05,0,20,20,0,0,534.52,1717.35,316.0696126,794.35,20,0,0.00,901.52,0.00,0,0,0,0,1243.54,1857.05,316.0696126,0.00,61.01,0,0.00
DG81,0,0,1557.55,0,0,0,0.00,22.34,0,0.65,0,0.00,316.0696126,20,0,0,0,0,0,20,0,0,0,4.981287692,0,0,20,0,109.95,3014.43,878.68,0,0,537.27,0,69.67297166,0,0,0,0,0,0,205.99,0,0,20,0,709.46,0,0,0,0,0.00,0,4.59,0,0.00,0,0,0,0,3.87,470.78,0.00,0.00,1962.04,0,0,0,0,0,0,10.12173988,0,173.00,106.91,0.00,498.61,0,0,0,0,488.24,0,20,0,0.00,0.28,0,10.26,0,3,0.00,11.96,2239.01,0.00,72.18692395,73.09,0,0,0,0,18.42932446,118.7456423,31.81158658,32.12401964,0,0,0.00,0,0.00,59.38087577,20,0,234.17,1838.57,1303.82,2060.51,0,15206.99,0,1842.68,0,0,0,12.281368,0.00,0,188.44,0.00,946.01,147.30,0,0,0.00,6.011892975,0,0,0,0,0,0.00,0,1700.16,0.00,0,0,0,0,0.00,2833.54,0.00,1194.61,0,20,20,0,279.4275177,3510.39,1654.13,56.73598759,611.09,0,0,4.92,2734.90,0.00,0,0,0,0,905.44,2023.76,163.8555342,0.00,2.17,8.144301976,114.24
DG82,0,0,2872.25,0,0,0,0.00,82.56,0,0.38,0,0.00,20,0,0,0,0,0,0,32.35282205,0,0,0,4.981287692,0,0,73.39730808,0,181.32,5102.23,906.92,0,0,1298.22,0,69.67297166,0,0,0,0,0,0,187.18,5.028715727,0,278.4895475,0,1421.48,0,0,0,0,5.97,0,64.23,0,0.00,0,3.923088707,0,0,7.88,1376.01,0.00,0.00,4976.81,0,0,0,0,0,2.878732364,10.12173988,0,859.00,414.26,0.00,1383.83,0,0,0,0,955.87,3.066526022,20,16.38452182,0.56,0.58,0,25.04,0,0,0.00,87.71,4145.09,0.00,72.18692395,279.22,0,0,0,0,0,118.7456423,0,32.12401964,0,0,0.00,0,0.00,20,20.09302478,0,88.40,2979.33,1534.39,4123.48,0,20797.33,0,2552.33,0,0,0,12.281368,0.00,0,904.95,0.00,897.56,391.67,0,0,0.00,0,0,0,0,0,0,0.00,0,3358.57,0.00,0,0,0,0,0.00,3911.18,0.00,454.20,0,20,37.83230363,0,279.4275177,5242.86,3344.63,56.73598759,1286.05,25.87805688,0,3.66,3747.92,0.00,0,0,0,0,1929.01,3800.02,163.8555342,0.00,47.50,8.144301976,116.91
DG83,3,3,1520.71,0,0,0,0.00,141.24,0,0.00,0,0.00,316.0696126,0,0,0,0,0,0,99.94998749,0,0,0,3,0,0,316.0696126,3,187.07,4186.42,1967.00,0,0,896.35,0,316.0696126,0,0,0,0,3,0,1135.31,0,0,316.0696126,0,1478.66,0,0,3,20.4362039,29.06,0,95.43,0,0.00,0,1.414213562,0,0,0.00,1610.60,0.00,0.00,4071.87,0,0,0,0,0,0,0,0,139.29,1009.39,0.00,1378.91,0,0,0,0,1406.87,0,3162.119542,0,0.00,0.00,0,8.04,0,0,0.00,137.54,5106.93,0.00,20,730.15,0,0,0,0,0,316.0696126,0,0,0,0,0.00,0,0.00,20,316.0696126,0,0.00,3809.63,76.00,4221.56,0,31635.63,0,10730.08,0,0,0,3,5.84,0,694.73,16.39,2138.82,488.58,0,0,0.00,0,0,0,0,0,0,0.00,0,1575.16,0.00,0,0,0,0,0.00,4517.26,0.00,330.89,0,154.4664933,0,0,20,10250.25,3206.05,56.73598759,456.00,0,0,0.00,2170.36,0.00,0,0,0,0,1468.70,3944.21,316.0696126,0.00,25.84,3,593.83
