Utm10,X_coord,Y_coord
DG00,405000,4605000
DG10,415000,4605000
DG20,425000,4605000
DG30,435000,4605000
DG40,445000,4605000
DG50,455000,4605000
DG60,465000,4605000
DG70,475000,4605000
BF79,275000,4595000
BF89,285000,4595000
BF99,295000,4595000
CF09,305000,4595000
CF19,315000,4595000
CF29,325000,4595000
CF39,335000,4595000
CF49,345000,4595000
CF59,355000,4595000
CF69,365000,4595000
CF79,375000,4595000
CF89,385000,4595000
CF99,395000,4595000
DF09,405000,4595000
DF19,415000,4595000
DF29,425000,4595000
DF39,435000,4595000
DF49,445000,4595000
DF59,455000,4595000
BF78,275000,4585000
BF88,285000,4585000
BF98,295000,4585000
CF08,305000,4585000
CF18,315000,4585000
CF28,325000,4585000
CF38,335000,4585000
CF48,345000,4585000
CF58,355000,4585000
CF68,365000,4585000
CF78,375000,4585000
CF88,385000,4585000
CF98,395000,4585000
DF08,405000,4585000
DF18,415000,4585000
DF28,425000,4585000
DF38,435000,4585000
BF77,275000,4575000
BF87,285000,4575000
BF97,295000,4575000
CF07,305000,4575000
CF17,315000,4575000
CF27,325000,4575000
CF37,335000,4575000
CF47,345000,4575000
CF57,355000,4575000
CF67,365000,4575000
CF77,375000,4575000
CF87,385000,4575000
CF97,395000,4575000
DF07,405000,4575000
DF17,415000,4575000
DF27,425000,4575000
DF37,435000,4575000
BF76,275000,4565000
BF86,285000,4565000
BF96,295000,4565000
CF06,305000,4565000
CF16,315000,4565000
CF26,325000,4565000
CF36,335000,4565000
CF46,345000,4565000
CF56,355000,4565000
CF66,365000,4565000
CF76,375000,4565000
CF86,385000,4565000
CF96,395000,4565000
DF06,405000,4565000
DF16,415000,4565000
DF26,425000,4565000
BF65,265000,4555000
BF75,275000,4555000
BF85,285000,4555000
BF95,295000,4555000
CF05,305000,4555000
CF15,315000,4555000
CF25,325000,4555000
CF35,335000,4555000
CF45,345000,4555000
CF55,355000,4555000
CF65,365000,4555000
CF75,375000,4555000
BF64,265000,4545000
BF74,275000,4545000
BF84,285000,4545000
BF94,295000,4545000
CF04,305000,4545000
CF14,315000,4545000
CF24,325000,4545000
CF34,335000,4545000
CF44,345000,4545000
CF54,355000,4545000
BF63,265000,4535000
BF73,275000,4535000
BF83,285000,4535000
BF93,295000,4535000
CF03,305000,4535000
CF13,315000,4535000
CF23,325000,4535000
BF62,265000,4525000
BF72,275000,4525000
BF82,285000,4525000
BF92,295000,4525000
CF02,305000,4525000
CF12,315000,4525000
BF61,265000,4515000
BF71,275000,4515000
BF81,285000,4515000
BF91,295000,4515000
CF01,305000,4515000
CF11,315000,4515000
CF21,325000,4515000
BF60,265000,4505000
BF70,275000,4505000
BF80,285000,4505000
BF90,295000,4505000
CF00,305000,4505000
CF10,315000,4505000
CF20,325000,4505000
BE79,275000,4495000
BE89,285000,4495000
BE99,295000,4495000
CE09,305000,4495000
BE88,285000,4485000
