analysis_id,analysis_display_order,dataset_id,analysis_role,adjustment_scenario,model_family,candidate_display_order,formula,term_order,term,term_role,estimate,std_error,statistic,p_value,conf_low,conf_high
Topography_delta_no_mean_covariates_gaussian,3,allouche_2012,primary,no_mean_covariates,quadratic,3,y ~ x + I(x^2),3,I(x^2),heterogeneity_quadratic_squared_term,-0.00099473816185157902,0.0004528230165942334,-2.1967482336326247,0.028852145513733655,-0.0018860803765364254,-0.00010339594716673257
Topography_delta_mean_elevation_linear_gaussian,4,allouche_2012,sensitivity,mean_elevation_linear,linear,1,y ~ mu + x,1,(Intercept),intercept,73.35313788874069,0.98559154969314311,74.42549391944226,2.0229107728100488e-187,71.413087753291492,75.293188024189888
Topography_delta_mean_elevation_linear_gaussian,4,allouche_2012,sensitivity,mean_elevation_linear,linear,1,y ~ mu + x,2,mu,covariate_or_other_term,0.0056463054446629704,0.0011231499260214392,5.0272054637122343,8.8600760516834306e-7,0.0034354837642355624,0.0078571271250903775
Topography_delta_mean_elevation_linear_gaussian,4,allouche_2012,sensitivity,mean_elevation_linear,linear,1,y ~ mu + x,3,x,heterogeneity_linear_term,0.081133385077483869,0.01697196344806897,4.7804360011578408,2.8202701853420426e-6,0.047725570251437088,0.11454119990353065
Topography_delta_mean_elevation_linear_gaussian,4,allouche_2012,sensitivity,mean_elevation_linear,logarithmic,2,y ~ mu + logx,1,(Intercept),intercept,67.073986793101781,1.7832457149958238,37.613429393973817,6.6661755432011908e-112,63.563824706186601,70.584148880016954
Topography_delta_mean_elevation_linear_gaussian,4,allouche_2012,sensitivity,mean_elevation_linear,logarithmic,2,y ~ mu + logx,2,mu,covariate_or_other_term,0.0052471345379561428,0.0011216573705839343,4.6780190417903524,4.4999129908333337e-6,0.0030392508214140772,0.007455018254498208
Topography_delta_mean_elevation_linear_gaussian,4,allouche_2012,sensitivity,mean_elevation_linear,logarithmic,2,y ~ mu + logx,3,logx,heterogeneity_logarithmic_term,2.9797538776558983,0.54627862344773193,5.454641184474248,1.073786781945337e-7,1.9044525342720835,4.0550552210397131
Topography_delta_mean_elevation_linear_gaussian,4,allouche_2012,sensitivity,mean_elevation_linear,quadratic,3,y ~ mu + x + I(x^2),1,(Intercept),intercept,72.394401224990986,1.250962358620211,57.870966880922552,3.7162425331831448e-158,69.931954262982927,74.856848186999045
Topography_delta_mean_elevation_linear_gaussian,4,allouche_2012,sensitivity,mean_elevation_linear,quadratic,3,y ~ mu + x + I(x^2),2,mu,covariate_or_other_term,0.005345485155864518,0.0011478908646646768,4.6567886551009767,4.9599241108271837e-6,0.0030859284610267475,0.007605041850702288
Topography_delta_mean_elevation_linear_gaussian,4,allouche_2012,sensitivity,mean_elevation_linear,quadratic,3,y ~ mu + x + I(x^2),3,x,heterogeneity_quadratic_linear_term,0.14667931489355579,0.055410762436539987,2.6471268115385076,0.0085760215812232324,0.037606437772851622,0.25575219201425997
Topography_delta_mean_elevation_linear_gaussian,4,allouche_2012,sensitivity,mean_elevation_linear,quadratic,3,y ~ mu + x + I(x^2),4,I(x^2),heterogeneity_quadratic_squared_term,-0.00055556954219767966,0.00044713466248222784,-1.242510565191894,0.21508412317204018,-0.0014357282325457227,0.00032458914815036342
Topography_delta_mean_elevation_quadratic_gaussian,5,allouche_2012,sensitivity,mean_elevation_quadratic,linear,1,y ~ mu + mu2 + x,1,(Intercept),intercept,66.394718225534589,1.3039297393625451,50.918938514273876,6.7730256112573044e-144,63.828008041779114,68.961428409290065
Topography_delta_mean_elevation_quadratic_gaussian,5,allouche_2012,sensitivity,mean_elevation_quadratic,linear,1,y ~ mu + mu2 + x,2,mu,covariate_or_other_term,0.028711073109758005,0.0032826619737570169,8.7462776671148053,2.0651389606736656e-16,0.022249343107351546,0.035172803112164468
Topography_delta_mean_elevation_quadratic_gaussian,5,allouche_2012,sensitivity,mean_elevation_quadratic,linear,1,y ~ mu + mu2 + x,3,mu2,covariate_or_other_term,-1.1908040032619018e-5,1.6093218084569486e-6,-7.3994150641857619,1.5892970258768757e-12,-1.5075896819692223e-5,-8.7401832455458135e-6
Topography_delta_mean_elevation_quadratic_gaussian,5,allouche_2012,sensitivity,mean_elevation_quadratic,linear,1,y ~ mu + mu2 + x,4,x,heterogeneity_linear_term,0.081460910662652375,0.015554265974630731,5.2372070013150402,3.2005858434557988e-7,0.050843238810606567,0.11207858251469818
Topography_delta_mean_elevation_quadratic_gaussian,5,allouche_2012,sensitivity,mean_elevation_quadratic,logarithmic,2,y ~ mu + mu2 + logx,1,(Intercept),intercept,60.237316453151124,1.8738409111816223,32.146441084566874,3.9023373847343859e-96,56.548769130180489,63.925863776121759
Topography_delta_mean_elevation_quadratic_gaussian,5,allouche_2012,sensitivity,mean_elevation_quadratic,logarithmic,2,y ~ mu + mu2 + logx,2,mu,covariate_or_other_term,0.028176629001637102,0.0032494682188114465,8.6711508173922773,3.4798237253470619e-16,0.021780238983651529,0.034573019019622675
Topography_delta_mean_elevation_quadratic_gaussian,5,allouche_2012,sensitivity,mean_elevation_quadratic,logarithmic,2,y ~ mu + mu2 + logx,3,mu2,covariate_or_other_term,-1.182660538560509e-5,1.5900902160394873e-6,-7.4376945825515319,1.2481708159829324e-12,-1.4956605896670766e-5,-8.6966048745394139e-6
Topography_delta_mean_elevation_quadratic_gaussian,5,allouche_2012,sensitivity,mean_elevation_quadratic,logarithmic,2,y ~ mu + mu2 + logx,4,logx,heterogeneity_logarithmic_term,2.9570137955871676,0.50023143171466966,5.9112914705324604,9.8149931627520471e-9,1.9723371897415856,3.9416904014327496
Topography_delta_mean_elevation_quadratic_gaussian,5,allouche_2012,sensitivity,mean_elevation_quadratic,quadratic,3,y ~ mu + mu2 + x + I(x^2),1,(Intercept),intercept,65.07536516898459,1.5026183042844286,43.307981130959632,4.0838264112894457e-126,62.117502359399218,68.033227978569954
Topography_delta_mean_elevation_quadratic_gaussian,5,allouche_2012,sensitivity,mean_elevation_quadratic,quadratic,3,y ~ mu + mu2 + x + I(x^2),2,mu,covariate_or_other_term,0.028606185050474544,0.0032712803676343376,8.7446448593953505,2.1177878321427355e-16,0.022166759607856745,0.035045610493092343
Topography_delta_mean_elevation_quadratic_gaussian,5,allouche_2012,sensitivity,mean_elevation_quadratic,quadratic,3,y ~ mu + mu2 + x + I(x^2),3,mu2,covariate_or_other_term,-1.2053815776874122e-5,1.6056403055501639e-6,-7.5071706503680149,8.100333754284982e-13,-1.5214474562818964e-5,-8.8931569909292806e-6
Topography_delta_mean_elevation_quadratic_gaussian,5,allouche_2012,sensitivity,mean_elevation_quadratic,quadratic,3,y ~ mu + mu2 + x + I(x^2),4,x,heterogeneity_quadratic_linear_term,0.16584136331747776,0.050710456054081948,3.2703583485940335,0.0012084576980399583,0.066019225125894851,0.26566350150906065
Topography_delta_mean_elevation_quadratic_gaussian,5,allouche_2012,sensitivity,mean_elevation_quadratic,quadratic,3,y ~ mu + mu2 + x + I(x^2),5,I(x^2),heterogeneity_quadratic_squared_term,-0.00071517761709022657,0.0004092396830048366,-1.7475764125293154,0.081633624018977752,-0.0015207546788863421,9.0399444705889097e-5
