mean,var,sd,cv,iod
10.3975,42.51578320802008,6.520412809632537,0.6271135185989456,4.089039019766298
10.8675,2.180394736842104,1.476615974734834,0.13587448582791203,0.2006344363323767
20.4775,19.29272556390978,4.392348524867964,0.21449632644941835,0.9421426230697
20.09090909090909,16.95373993095512,4.117491946677628,0.2049430380699272,0.8438513087805716
12.735,19.774210526315784,4.446820271420443,0.3491810185646206,1.552745231748393
7.6375,16.75297619047619,4.093039969323069,0.5359135802714329,2.193515704154002
12.7925,32.79142230576443,5.7263795111540094,0.44763568584358093,2.5633318198760544
6.14,1.2034085213032586,1.0969997818155017,0.17866445957907195,0.1959948731764265
5.975,2.7111528822055138,1.6465578891145958,0.27557454211122945,0.4537494363523873
2.856060606060606,1.0096087456846952,1.0047928869596436,0.3518107720919707,0.3534969613537925
15.34,1.0219548872180446,1.0109178439507558,0.06590077209587718,0.06662026644185427
18.7825,24.255833333333335,4.925021150546801,0.26221329165695734,1.291406007365012
2.878419452887538,2.290051152791164,1.5132914963057065,0.5257369612297543,0.7955932727225901
20.275,35.237468671679196,5.936115621488449,0.2927800553138569,1.7379762600088384
19.26,5.962305764411024,2.441783316433099,0.1267800268137642,0.3095693543307904
12.4625,13.813126566416042,3.7166014807100374,0.2982227868172547,1.1083752510664828
15.405,29.108746867167913,5.395252252413034,0.350227345174491,1.8895648729093095
5.855,4.520275689223057,2.126093998209641,0.3631245086609122,0.7720368384667903
7.105263157894737,13.551705897910603,3.6812641711660143,0.5181038463122538,1.9072771263726034
13.78,31.08932330827068,5.57578006275989,0.40462845157909216,2.2561192531401075
5.12,4.567017543859649,2.137058151726258,0.41739417025903475,0.8919956140350876
15.7475,0.18921679197994995,0.4349905653918829,0.027622833173004152,0.012015671819650735
17.95846645367412,58.71301302531336,7.662441714317529,0.42667572613082844,3.269377882391582
6.982233502538071,18.999683548391268,4.358862643900501,0.6242791282067603,2.721146971307219
11.515,6.526090225563905,2.554621346807371,0.22185161500715334,0.5667468715209644
12.275,6.896616541353387,2.6261409979956114,0.21394224016257526,0.5618424880939622
17.11,42.93022556390974,6.552116113433105,0.38294074304109327,2.5090722129695933
18.8175,1.2222493734335842,1.1055538763143045,0.05875136847691269,0.06495280315842085
6.9275,1.4458583959899736,1.2024385206695491,0.1735746691691879,0.20871286842150466
7.2525,48.08395363408524,6.934259414968929,0.9561198779688286,6.629983265644293
8.685,4.612305764411026,2.1476279390087627,0.24728013114666236,0.5310657184123231
19.25,30.949874686716793,5.563261155717642,0.2890005795177996,1.607785698011262
10.13,2.083308270676691,1.4433669909890177,0.14248440187453282,0.2056572823965144
10.855,2.8460902255639113,1.687035928948732,0.15541556231678783,0.26219163754619174
20.09,2.9091729323308275,1.7056297758689685,0.08489944130756438,0.14480701504882168
18.02,1.0622556390977442,1.0306578671400826,0.05719522015205786,0.05894870361252743
2.32122905027933,1.9497441434674436,1.3963323900373592,0.6015487312074302,0.839961977570812
8.035,9.66794486215539,3.109331899645869,0.3869734784873515,1.2032289809776464
10.55181347150259,124.35704865083102,11.151549159234829,1.056837214697924,11.78537215301271
10.1375,1.7479636591478702,1.3221057670049965,0.13041733829888993,0.17242551508240397
6.75,1.556390977443609,1.2475539978067518,0.18482281448988916,0.2305764411027569
11.8525,7.479442355889723,2.7348569168952372,0.23074093371822293,0.6310434385901476
14.17,4.632681704260651,2.1523665357602666,0.15189601522655374,0.3269359000889662
15.0525,3.693978696741853,1.9219726056169097,0.12768461090296693,0.24540632431435663
10.08,0.6552380952380951,0.80946778517622,0.08030434376748213,0.06500377928949355
2.2725,2.098489974937342,1.4486165727815423,0.6374550375276314,0.923427931765607
5.2425,3.6227506265664164,1.9033524703970142,0.3630619876770652,0.6910349311523923
16.4675,2.064104010025061,1.4366989977114417,0.08724451177843884,0.12534410262790716
20.0775,49.93132205513784,7.066209879075051,0.3519467004893563,2.486929251905757
16.0075,5.255582706766915,2.2925057702799605,0.14321447885553398,0.32832001916394904
13.7625,1.9208959899749376,1.3859639208777903,0.10070582531355425,0.13957464050680746
5.687134502923977,7.758133113820722,2.7853425487398713,0.4897620317064452,1.3641550256692476
15.4575,1.4668609022556394,1.2111403313636449,0.07835292455854083,0.0948963870131418
18.6575,111.78465538847114,10.572826272500231,0.5666796876591308,5.991405889774683
12.195,48.03205513784462,6.9305162244846255,0.5683080134878742,3.938667907982339
8.375,19.914160401002505,4.462528476211945,0.5328392210402323,2.3778101971346275
3.721518987341772,2.323266722354302,1.5242265980996073,0.40957109268662917,0.6242791532856798
