mean,var,sd,cv,delta
0.7325,4.92826441102757,2.2199694617331045,3.0306750330827366,0.06777652325162456
0.6625,8.44470551378446,2.905977548740606,4.386381205646198,0.1283173555185665
0.0375,0.3118734335839601,0.5584562951422073,14.892167870458861,0.08319744799872221
0.1225,4.197988721804507,2.0488993927971446,16.725709328956285,0.3431132706385328
0.025,0.20488721804511276,0.4526446929381949,18.105787717527797,0.08197538106331093
0.53,7.282305764411029,2.6985747653921,5.091650500739811,0.13813410631841264
0.1025,1.4806954887218062,1.216838316590091,11.871593332586253,0.144606317936549
1.885,38.65842105263159,6.217589649746241,3.298456047610738,0.20902457505750824
1.345,20.8631328320802,4.5676178509240675,3.395998402174028,0.15723098599644927
0.455,5.581929824561407,2.3626108068324347,5.192551223807548,0.12324052073332357
2.035,30.760676691729305,5.546230854528984,2.72542056733611,0.15429808239807505
0.065,0.9631829573934855,0.9814188491125925,15.098751524809115,0.14827837438850414
1.925,31.463032581453678,5.609191793962271,2.9138658669933877,0.16665238348045952
0.2275,2.6222994987468664,1.6193515673709853,7.11802886756477,0.1155287399161385
0.07,0.29583959899749385,0.5439113889205611,7.770162698865158,0.0422924045399628
1.095,18.79295739348371,4.3350844736272105,3.9589812544540735,0.1735252835303072
1.5,16.726817042606516,4.08984315623552,2.726562104157013,0.1132102676318546
0.1775,1.5248057644110289,1.2348302573273093,6.956790182125687,0.08605730181839125
1.9225,22.7884649122807,4.773726522569207,2.483082716550953,0.12085909430534508
1.0725,15.72154761904762,3.9650406831516394,3.6970076299782186,0.14817705550818183
0.545,5.827543859649122,2.414030625250873,4.4294139912860055,0.10751335807027422
0.5025,7.4837030075187965,2.735635759292307,5.444051262273248,0.14968156293871823
0.03,0.36000000000000015,0.6000000000000001,20.000000000000004,0.12003601080324103
0.4075,7.209467418546369,2.6850451427390136,6.589067834942365,0.17764334247448216
0.1625,1.3895676691729335,1.1787992488854637,7.254149223910546,0.08565103950368168
0.0175,0.06234962406015039,0.24969906699895855,14.268518114226202,0.035634592659515636
0.4325,6.140795739348365,2.4780629006036885,5.7296252037079505,0.14260046352145553
0.3925,8.534780701754395,2.9214346992110563,7.443145730474028,0.21830348325468915
0.01,0.03999999999999999,0.19999999999999996,19.999999999999996,0.04000400040003999
0.85,29.561403508771917,5.437039958357113,6.3965175980671924,0.35076270070626103
0.135,1.6358646616541355,1.279009250026807,9.474142592791162,0.12133896772896265
0.955,9.937819548872184,3.1524307365701447,3.3009745932671675,0.10506430176639456
0.09,1.2299749373433595,1.1090423514651546,12.322692794057273,0.13678699021823637
0.8325,11.578389724310783,3.402703296543909,4.08733128713983,0.14024731534845344
0.0725,1.160144110275689,1.0770998608651332,14.856549805036321,0.1601359758619053
1.235,15.052406015037603,3.8797430346657755,3.1414923357617615,0.12340589285807334
1.135,17.40027568922307,4.1713637685082166,3.675210368729706,0.1550663973475428
1.9325,25.311221804511256,5.031025919681914,2.6033769312713657,0.13355756820484058
0.0275,0.30249999999999966,0.5499999999999997,19.99999999999999,0.11003025832103817
1.675,39.34273182957396,6.27237848264707,3.744703571729594,0.2388832759441478
0.1175,1.2016979949874695,1.096219866170774,9.329530775921482,0.10239248095128539
0.9825,15.756585213032587,3.969456538750939,4.040159326972966,0.16196366155526482
1.5875,24.664003759398504,4.966286717397467,3.1283695857621843,0.1578699892887687
0.16,4.801403508771934,2.1912105121991208,13.695065701244504,0.3005686291048135
0.0375,0.20159774436090244,0.4489963745520697,11.973236654721859,0.05377956583342819
0.04,0.21393483709273187,0.46253090393262575,11.563272598315644,0.053505111317710054
1.9025,16.27869047619047,4.0346859203896495,2.12072847326657,0.08722417301213656
0.0075,0.022500000000000006,0.15000000000000002,20.000000000000004,0.030002250168762665
0.3875,3.4208959899749383,1.8495664329715054,4.773074665732917,0.08862460719092777
0.52,6.982055137844605,2.642357874672658,5.081457451293573,0.13497214627301593
1.21,14.7728320802005,3.843544208175639,3.1764828166740817,0.12358489859699472
0.53,5.718395989974943,2.3913167899663446,4.511918471634612,0.10846915045922527
1.4675,14.22951754385966,3.7722032744617118,2.5704962687984407,0.09840848899757025
0.23,2.47328320802005,1.5726675452936802,6.83768497953774,0.10778195100993372
0.2975,4.374931077694233,2.091633590687966,7.030701145169634,0.14749530534665786
0.025,0.24999999999999997,0.49999999999999994,19.999999999999996,0.10002500625156288
1.38,9.965513784461153,3.156820201478246,2.28755087063641,0.07322436422971172
1.1425,20.353076441102765,4.51143840045531,3.948742582455413,0.18020391897430563
0.155,2.697719298245611,1.642473530455091,10.59660342229091,0.17431659706387553
0.935,20.547142857142852,4.532895637133382,4.8480167242068255,0.22182964576698927
0.04,0.22395989974937336,0.4732440171300355,11.831100428250886,0.056012379889299066
0.955,20.689699248120288,4.548593106458335,4.762924718804539,0.21873498452758172
0.0875,0.3908208020050123,0.6251566219796543,7.144647108338907,0.04470435082182766
0.505,11.14784461152884,3.3388388118519345,6.611562003667197,0.2218698409448674
0.07,0.4462155388471177,0.6679936667717125,9.542766668167319,0.06378972978901197
0.025,0.1296992481203007,0.3601378182311609,14.405512729246436,0.051892672416224334
0.15,4.057644110275694,2.0143594789102797,13.429063192735198,0.2709159813236985
